FID;Clasificac;Total_Diss;DIC_mg_L;DOC_mg_L;NH_4_ug_L;NH_4_mg_L;NO2_ug_L;NO2_mg_L;As_ug_L;Fe_ug_L;Hg_ug_L;Mn_ug_L;Pb_ug_L;NO3_mg_L;Cl_mg_L;Fl_mg_L;SO4_mg_L;Na_mg_L;Mg_mg_L;K_mg_L;Ca_mg_L;HCO3_mg_L;EC_uS_cm;pH;Temperatur;O2_%;O2_mg_L;ORP;TDS_ppm;18O;SD;2H;SD_1;dexcess;180;15N;Land_Use;Type;Altitude
1;Site02;10.23;10.09;0.15;26.45;0.026;2.99;0.003;0.11;39.5;0.06;1.15;0.115;1.5;1.84;< 0,62;1.42;3.702;3.475;2.457;8.91;59.7;69;6.76;17.6;59.8;5.17;130;35;0;0;0;0;0;4.49;11.4;Pasture;Well;1814
2;Site06;10.6;4.75;5.86;57.77;0.058;3.65;0.0036;0.342;10.8;0.276;0.375;0.261;19.58;6.61;< 0,62;5.41;7.581;7.974;4.249;19.468;98;151;6.55;21.4;99.2;8.36;213;75;0;0;0;0;0;0;0;Urban;Well;1145
3;Site06;20.56;18.19;2.38;158.64;0.159;4.39;0.0044;0.318;10.6;0.64;0.27;0.0936;17.88;7.57;< 0,62;1.76;6.979;6.871;4.503;18.271;92.8;137;6.3;21.3;79.7;6.56;139;68;0;0;0;0;0;-2.21;10.7;Urban;Well;1220
4;Site06;13.98;13.72;0.26;20.22;0.02;4.47;0.0045;0.38;7.17;0.04;0.463;0.245;10.76;3.61;< 0,185;2.15;6.638;7.105;3.739;15.663;94.5;122;6.51;20.3;88.9;7.95;381;60;0;0;0;0;0;-2.24;8.03;Urban;Well;1126
5;Site06;8.93;4.26;4.67;16.91;0.017;3.81;0.0038;0.194;6.16;0.165;0.548;0.0456;19.61;5.38;< 0,62;4.25;5.873;5.492;4.828;15.984;71.3;123;6.23;20.8;88.1;7.1;138;61;0;0;0;0;0;-8.69;9.8;Urban;Well;1262
6;Site01;12.62;11.03;1.59;39.08;0.039;18.62;0.0186;0.272;136;0.06;18.9;0.106;1.78;1.25;< 0,62;3.51;4.744;4.613;2.643;11.23;73.1;88;6.5;17.7;66;7.41;10;44;-8.43;0.04;-59.48;0.13;7.95;0;0;Forest and pasture;Well;1918
7;Site04;3.17;1.47;1.71;38.91;0.039;3.65;0.0036;0.161;6.08;0.035;0.248;0.203;0.91;0.9;< 0,62;2.84;2.815;1.092;2.042;4.998;27.3;33;6.78;16.2;73.9;7.55;123;16;-9.63;0.07;-65.53;0.24;11.49;0;0;Forest and pasture;Spring;2094.6
8;Site04;8.17;8.14;0.03;26.34;0.026;15.03;0.015;0.346;3.3;0.05;0.364;0.087;2.86;1.46;< 0,62;18.4;4.281;3.87;2.711;8.016;34.8;75;7.25;18.8;84.3;7.86;220;37;-7.4;0.08;-47.46;0.14;11.71;0.66;5.39;Forest and pasture;Spring;1704.9
9;Site02;14.93;14.64;0.3;31.52;0.032;15.71;0.0157;0.215;114;3.94;19;0.2;15.31;4.19;< 0,62;2.52;5.214;8.204;3.326;16.852;94.5;129;6.37;20.8;89.3;6.9;233;64;-7.48;0.04;-48.55;0.31;11.27;-3.74;5.51;Agriculture;Well;1186.8
10;Site05;13.93;13.71;0.22;22.2;0.022;18.67;0.0187;0.12;29.2;3.1;9.7;0.357;17.74;2.85;< 0,62;1.42;4.545;6.381;1.772;13.804;71.3;106;6.6;23.3;73.9;5.59;232;52;-8.75;0.07;-62.46;0.25;7.57;0;0;Agriculture;Well;1122.7
11;Site01;15.11;13.89;1.22;24.02;0.024;38.22;0.0382;0.034;264;3.82;15.6;0.342;40.62;4.05; ;4.21;4.865;7.375;2.24;18.969;66.7;120;6.82;20.7;73.7;6.01;230;69;-8.67;0.05;-63.66;0.16;5.74;-6.44;5.59;Agriculture;Well;1221.5
12;Site03;19.65;17.46;2.19;36.1;0.036;13.21;0.0132;2.41;31.5;3.51;10.3;0.081;2.22;31.55; ;32.06;30.111;14.504;12.478;16.732;146.7;272;6.11;21.8;101;9.31;180;136;-8.43;0.05;-62.47;0.24;5;0;0;Agriculture;Well;1144
13;Site02;18.43;16.71;1.72;22.7;0.023;3.65;0.0036;0.292;13.1;3.19;7.13;0.135;15.97;4.96;< 0,62;5.29;6.789;8.78;3.22;17.967;100.3;145;6.87;22;64.6;6.05;240;73;0;0;0;0;0;0;0;Urban;Spring;934.5
14;Site02;12.87;8.11;4.76;20.44;0.02;3.98;0.004;0.188;11.8;2.68;6.01;0.244;39.11;14.3;< 0,62;13.55;9.565;9.811;4.818;29.414;98.6;199;6.73;23.1;80.4;6.8;385;99;-8.39;0.07;-62.44;0.23;4.7;-6.57;13.7;Urban;Spring;938
15;Site06;21.16;19.45;1.71;26.34;0.026;5.14;0.0051;0.376;16.4;3.49;8.4;0.138;22.63;12.28;< 0,62;7.77;10.512;10.648;4.806;23.592;118.3;193;6.82;21.9;98.4;8.7;293;96;-7.7;0.04;-57.32;0.27;4.29;-5.34;10.2;Urban;Spring;856.6
16;Site03;16.12;14.65;1.48;28.16;0.028;5.48;0.0055;0.755;14.9;3.42;8.4;0.259;10.44;9.83;< 0,62;7.7;11.897;9.917;5.323;16.058;110.5;163;6.67;22.3;87.7;7.2;223;81;-7.74;0.05;-57.48;0.23;4.45;-5.18;5.94;Urban;Spring;810.8
17;Site02;28.84;26.39;2.45;27.99;0.028;3.09;0.0031;0.347;106;3.98;9.2;0.406;23.5;10.06;< 0,62;16.95;12.295;13.23;4.869;28.659;144.4;224;6.5;25;93;7.26;222;112;-7.09;0.09;-52.13;0.25;4.63;0;0;Urban;Well;858.3
18;Site01;13.75;12.8;0.95;26.5;0.027;12.53;0.0125;0.078;29;3.74;9.9;0.209;36.68;8; ;6.37;5.467;8.039;2.142;18.955;65;73;6.76;22.4;80.2;6.17;211;36;-6.92;0.1;-53.73;0.32;1.66;0;0;Agriculture;Spring;1117.4
19;Site02;12.35;2.06;10.29;19.77;0.02;2.99;0.003;0.19;15.9;1.16;6.85;0.478;20.18;5.61;< 0,62;4.68;6.616;8.624;3.59;19.907;99.2;142;6.48;22.2;69.8;6;357;70;-8.48;0.06;-64.73;0.3;3.12;-3.67;9.05;Urban;Spring;880.4
20;Site04;10.94;10.29;0.65;30.14;0.03;14.46;0.0145;0.09;346;3.79;10.1;0.523;11.06;4.5;< 0,62;15.44;5.214;5.104;2.424;11.836;47.6;100;6.28;20.4;82.4;7.51;130;49;-8.19;0.03;-61.72;0.29;3.79;-10.9;9.93;Agriculture;Well;1380.5
21;Site01;23.81;21.52;2.29;29.81;0.03;3.43;0.0034;0.139;18.5;3.26;8.9;0.094;39.83;20.47; ;1.27;7.676;10.623;5.335;28.525;103.2;208;5.86;24.4;99;9.63;203;104;-8.1;0.03;-59.58;0.23;5.21;0;0;Urban;Well;908.3
22;Site01;24.29;22.04;2.25;26.17;0.026;3.77;0.0038;0;0;0;0;0;32.51;14.35;< 0,62;0.98;7.935;12.236;5.461;30.384;132.8;209;6.36;24.3;108;8.92;214;104;-8.39;0.05;-61.88;0.19;5.23;0;0;Urban;Well;901.3
23;Site01;19.68;18.38;1.3;31.63;0.032;11.96;0.012;0;0;0;0;0;49.83;10.86; ;5.34;5.956;10.074;2.364;23.59;73.7;173;5.88;22.4;100;8.6;233;87;-8.44;0.05;-63.43;0.15;4.09;0;0;Agriculture;Well;1188.5
24;Site02;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0
25;Site02;18.02;16.64;1.38;24.19;0.024;12.98;0.013;0.244;28.6;2.74;7.25;1.2;16.35;4.41;< 0,62;3.52;5.943;8.242;3.219;17.473;96.9;136;6.53;21.6;74.8;6.67;234;68;-8.66;0.08;-65.37;0.1;3.9;-3.9;8.83;Agriculture;Well;1027
26;Site02;11.15;3.49;7.66;31.47;0.031;3.15;0.0032;0.155;10.9;2.95;6.03;0.457;29.62;11.26;< 0,62;6.79;7.309;9.077;3.942;23.99;105;172;6.48;25.8;69.1;5.19;716;85;-8.41;0.04;-62.22;0.22;5.04;0;0;Urban;Well;978.7
27;Site01;17.58;15.97;1.61;24.68;0.025;4.45;0.0045;0.02;20.4;2.6;8.6;0.481;34.3;8.94; ;2.32;4.923;5.517;1.537;15.97;51.6;123;5.6;23.3;95.4;7.8;260;61;-8.54;0.07;-60.31;0.28;7.99;0;0;Urban;Well;971.6
28;Site02;13.11;4.49;8.62;35.6;0.036;3.9;0.0039;0.061;14.1;1.35;4.5;0.166;30.18;10.39;< 0,185;8.55;8.311;7.825;2.606;22.583;85.3;171;7.02;25.8;49;4.07;275;85;-8.72;0.05;-61.79;0.3;8;-10.9;9.93;Urban;Well;890
29;Site05;12.14;11.6;0.53;30.14;0.03;11.96;0.012;0.58;40.7;4.18;13.8;0.202;9.68;9.89;< 0,62;27.35;6.927;10.316;3.17;17.964;76.6;138;6.51;21.8;80.1;6.55;114;69;-8.62;0.1;-62.23;0.16;6.72;-5.1;1.95;Agriculture;Well;1290.7
30;Site05;14.56;13.06;1.51;24.79;0.025;8.89;0.0089;1.45;20.1;3.2;8.7;0.247;3.9;10.34;< 0,62;24.16;11.015;11.92;4.705;14.97;97.4;168;6.77;22.1;80;6.41;227;84;-9.22;0.05;-64.73;0.2;8.99;0;0;Urban;Well;929.7
31;Site03;18.22;16.7;1.53;26.24;0.026;7.75;0.0078;1.54;19.7;3.55;9;0.341;4.25;19.33;< 0,62;38.37;15.908;17.743;6.492;18.426;123.5;234;6.9;22.6;65.4;6.7;218;116;0;0;0;0;0;0;0;Urban;Well;933.3
32;Site02;15.25;14.67;0.58;23.3;0.023;14.8;0.0148;0.135;16;3.76;8.8;0.339;4.49;2.35;< 0,62;4.12;4.155;5.753;2.176;10.306;68.4;87;6.51;14.4;79.1;6.85;270;43;-9.27;0.04;-63.56;0.16;10.56;0;0;Forest and pasture;Spring;1672.3
33;Site02;12.55;11.74;0.82;24.68;0.025;27.65;0.0276;0.346;32.9;2.26;8.18;0.309;1.17;1.43;< 0,62;3.69;4.244;4.323;2.839;8.282;62.1;71;6.72;18;77.6;7.53;264;36;-7.91;0.09;-51.42;0.39;11.84;0;0;Forest and pasture;Spring;1680.1
34;Site02;18.16;16.87;1.29;33.45;0.033;3.9;0.0039;0.147;16;2.89;6.29;0.642;34.84;9.53;< 0,62;8.75;7.919;9.461;4.24;26.516;102.7;164;6.78;22.4;72.6;6.2;461;82;-7.82;0.05;-51.93;0.39;10.62;-16.6;11.4;Urban;Well;974.7
35;Site03;10.09;6.39;3.7;38.91;0.039;2.99;0.003;0.88;23.9;2.3;6.03;0.418;7.88;11.98;< 0,62;10.11;13.833;10.001;5.872;15.615;115.4;171;6.87;23.5;78.8;6.39;288;85;-8.43;0.07;-59.93;0.33;7.49;0;0;Urban;Well;844.2
36;Site05;11.42;0.03;11.39;48.01;0.048;3.32;0.0033;1;17;2.96;7.46;0.171;9.67;15.93;< 0,62;22.57;17.283;12.793;5.724;17.196;119.5;198;6.77;23.7;79.6;6.27;281;99;-7.88;0.06;-50.7;0.43;12.33;0;0;Urban;Well;838.6
37;Site05;15.61;14.38;1.23;26.5;0.027;12.19;0.0122;1.3;13.8;3.5;7.98;0.297;5.9;12.03;< 0,62;26.96;11.797;13.093;4.796;17.223;110.2;185;6.7;22.9;80.9;7.3;237;93;-8.54;0.06;-55.95;0.37;12.33;0;0;Urban;Well;831.6
38;Site06;20.97;19.37;1.6;22.15;0.022;6.61;0.0066;0.5;121;2.84;10.8;0.661;20.17;8.95;< 0,62;6.51;10.208;10.88;4.626;20.946;121.2;183;6.63;22.1;85.5;7.28;222;91;-9.66;0.08;-65.23;0.42;12.02;0;0;Urban;Well;877.2
39;Site05;15.05;13.67;1.37;23.52;0.024;7.07;0.0071;1.48;21.2;2.97;8.5;0.298;4.35;12.24;< 0,62;27.3;11.818;12.97;5.017;15.459;103.2;182;6.92;22;85.9;7.41;206;91;-8.49;0.07;-55.86;0.27;12.06;0;0;Urban;Well;930.7
40;Site03;17.91;16.48;1.43;26.34;0.026;6.96;0.007;2.42;665.7;3.1;10.5;1.27;3.65;18.16;< 0,62;35.09;19.399;14.716;6.542;16.465;123.5;226;7.17;23;83.7;6.34;184;113;-9.65;0.04;-65.84;0.31;11.38;0;0;Urban;Well;932.8
